,TEAM,SEASON,PLAYERS
0,1610612737,2012-13,"['Al Horford', 'Anthony Morrow', 'Anthony Tolliver', 'Dahntay Jones', 'DeShawn Stevenson', 'Devin Harris', 'Ivan Johnson', 'Jannero Pargo', 'Jeff Teague', 'Jeremy Tyler', 'Johan Petro', 'John Jenkins', 'Josh Smith', 'Kyle Korver', 'Lou Williams', 'Mike Scott', 'Shelvin Mack', 'Zaza Pachulia']"
1,1610612737,2013-14,"['Al Horford', 'Cartier Martin', 'DeMarre Carroll', 'Dennis Schroder', 'Dexter Pittman', 'Elton Brand', 'Gustavo Ayon', 'James Nunnally', 'Jared Cunningham', 'Jeff Teague', 'John Jenkins', 'Kyle Korver', 'Lou Williams', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Pero Antic', 'Shelvin Mack']"
2,1610612737,2014-15,"['Adreian Payne', 'Al Horford', 'Austin Daye', 'DeMarre Carroll', 'Dennis Schroder', 'Elton Brand', 'Jeff Teague', 'John Jenkins', 'Kent Bazemore', 'Kyle Korver', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Pero Antic', 'Shelvin Mack', 'Thabo Sefolosha']"
3,1610612737,2015-16,"['Al Horford', 'Dennis Schroder', 'Edy Tavares', 'Jeff Teague', 'Justin Holiday', 'Kent Bazemore', 'Kirk Hinrich', 'Kris Humphries', 'Kyle Korver', 'Lamar Patterson', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Shelvin Mack', 'Thabo Sefolosha', 'Tiago Splitter', 'Tim Hardaway Jr.']"
4,1610612737,2016-17,"[""DeAndre' Bembry"", 'Dennis Schroder', 'Dwight Howard', 'Edy Tavares', 'Ersan Ilyasova', 'Gary Neal', 'Jose Calderon', 'Kent Bazemore', 'Kris Humphries', 'Kyle Korver', 'Lamar Patterson', 'Malcolm Delaney', 'Mike Dunleavy', 'Mike Muscala', 'Mike Scott', 'Paul Millsap', 'Ryan Kelly', 'Taurean Prince', 'Thabo Sefolosha', 'Tim Hardaway Jr.']"
5,1610612737,2017-18,"['Andrew White III', 'Antonius Cleveland', 'Damion Lee', ""DeAndre' Bembry"", 'Dennis Schroder', 'Dewayne Dedmon', 'Ersan Ilyasova', 'Isaiah Taylor', 'Jaylen Morris', 'Jeremy Evans', 'John Collins', 'Josh Magette', 'Kent Bazemore', 'Luke Babbitt', 'Malcolm Delaney', 'Marco Belinelli', 'Mike Muscala', 'Miles Plumlee', 'Nicolas Brussino', 'Taurean Prince', 'Tyler Cavanaugh', 'Tyler Dorsey']"
6,1610612737,2018-19,"['Alex Len', 'Alex Poythress', 'BJ Johnson', 'Daniel Hamilton', ""DeAndre' Bembry"", 'Dewayne Dedmon', 'Deyonta Davis', 'Isaac Humphries', 'Jaylen Adams', 'Jeremy Lin', 'John Collins', 'Jordan Sibert', 'Justin Anderson', 'Kent Bazemore', 'Kevin Huerter', 'Miles Plumlee', 'Omari Spellman', 'Taurean Prince', 'Trae Young', 'Tyler Dorsey', 'Tyler Zeller', 'Vince Carter']"
7,1610612737,2019-20,"['Alex Len', 'Allen Crabbe', 'Brandon Goodwin', 'Bruno Fernando', 'Cam Reddish', 'Chandler Parsons', 'Charles Brown Jr.', 'Damian Jones', ""De'Andre Hunter"", ""DeAndre' Bembry"", 'Dewayne Dedmon', 'Evan Turner', 'Jabari Parker', 'Jeff Teague', 'John Collins', 'Kevin Huerter', 'Paul Watson', 'Trae Young', 'Treveon Graham', 'Tyrone Wallace', 'Vince Carter']"
8,1610612738,2012-13,"['Avery Bradley', 'Brandon Bass', 'Chris Wilcox', 'Courtney Lee', 'DJ White', 'Darko Milicic', 'Fab Melo', 'Jared Sullinger', 'Jarvis Varnado', 'Jason Collins', 'Jason Terry', 'Jeff Green', 'Jordan Crawford', 'Kevin Garnett', 'Kris Joseph', 'Leandro Barbosa', 'Paul Pierce', 'Rajon Rondo', 'Shavlik Randolph', 'Terrence Williams']"
9,1610612738,2013-14,"['Avery Bradley', 'Brandon Bass', 'Chris Babb', 'Chris Johnson', 'Courtney Lee', 'Gerald Wallace', 'Jared Sullinger', 'Jeff Green', 'Jerryd Bayless', 'Joel Anthony', 'Jordan Crawford', 'Keith Bogans', 'Kelly Olynyk', 'Kris Humphries', 'MarShon Brooks', 'Phil Pressey', 'Rajon Rondo', 'Vander Blue', 'Vitor Faverani']"
10,1610612738,2014-15,"['Avery Bradley', 'Brandan Wright', 'Brandon Bass', 'Dwight Powell', 'Evan Turner', 'Gerald Wallace', 'Gigi Datome', 'Isaiah Thomas', 'Jae Crowder', 'Jameer Nelson', 'James Young', 'Jared Sullinger', 'Jeff Green', 'Jonas Jerebko', 'Kelly Olynyk', 'Marcus Smart', 'Marcus Thornton', 'Phil Pressey', 'Rajon Rondo', 'Shavlik Randolph', 'Tayshaun Prince', 'Tyler Zeller']"
11,1610612738,2015-16,"['Amir Johnson', 'Avery Bradley', 'Coty Clarke', 'David Lee', 'Evan Turner', 'Isaiah Thomas', 'Jae Crowder', 'James Young', 'Jared Sullinger', 'Jonas Jerebko', 'Jordan Mickey', 'Kelly Olynyk', 'Marcus Smart', 'RJ Hunter', 'Terry Rozier', 'Tyler Zeller']"
12,1610612738,2016-17,"['Al Horford', 'Amir Johnson', 'Avery Bradley', 'Demetrius Jackson', 'Gerald Green', 'Isaiah Thomas', 'Jae Crowder', 'James Young', 'Jaylen Brown', 'Jonas Jerebko', 'Jordan Mickey', 'Kelly Olynyk', 'Marcus Smart', 'Terry Rozier', 'Tyler Zeller']"
13,1610612738,2017-18,"['Abdel Nader', 'Al Horford', 'Aron Baynes', 'Daniel Theis', 'Gordon Hayward', 'Greg Monroe', 'Guerschon Yabusele', 'Jabari Bird', 'Jarell Eddie', 'Jaylen Brown', 'Jayson Tatum', 'Jonathan Gibson', 'Kadeem Allen', 'Kyrie Irving', 'Marcus Morris Sr.', 'Marcus Smart', 'Semi Ojeleye', 'Shane Larkin', 'Terry Rozier', 'Xavier Silas']"
14,1610612738,2018-19,"['Al Horford', 'Aron Baynes', 'Brad Wanamaker', 'Daniel Theis', 'Gordon Hayward', 'Greg Monroe', 'Guerschon Yabusele', 'Jaylen Brown', 'Jayson Tatum', 'Kyrie Irving', 'Marcus Morris Sr.', 'Marcus Smart', 'PJ Dozier', 'RJ Hunter', 'Robert Williams III', 'Semi Ojeleye', 'Terry Rozier']"
15,1610612738,2019-20,"['Brad Wanamaker', 'Carsen Edwards', 'Daniel Theis', 'Enes Kanter', 'Gordon Hayward', 'Grant Williams', 'Javonte Green', 'Jaylen Brown', 'Jayson Tatum', 'Kemba Walker', 'Marcus Smart', 'Robert Williams III', 'Romeo Langford', 'Semi Ojeleye', 'Tacko Fall', 'Tremont Waters', 'Vincent Poirier']"
16,1610612739,2012-13,"['Alonzo Gee', 'Anderson Varejao', 'CJ Miles', 'Chris Quinn', 'Daniel Gibson', 'Dion Waiters', 'Donald Sloan', 'Jeremy Pargo', 'Jon Leuer', 'Kevin Jones', 'Kyrie Irving', 'Luke Walton', 'Marreese Speights', 'Omri Casspi', 'Samardo Samuels', 'Shaun Livingston', 'Tristan Thompson', 'Tyler Zeller', 'Wayne Ellington']"
17,1610612739,2013-14,"['Alonzo Gee', 'Anderson Varejao', 'Andrew Bynum', 'Anthony Bennett', 'Arinze Onuaku', 'CJ Miles', 'Carrick Felix', 'Dion Waiters', 'Earl Clark', 'Henry Sims', 'Jarrett Jack', 'Kyrie Irving', 'Luol Deng', 'Matthew Dellavedova', 'Scotty Hopson', 'Sergey Karasev', 'Seth Curry', 'Shane Edwards', 'Spencer Hawes', 'Tristan Thompson', 'Tyler Zeller']"
18,1610612739,2014-15,"['AJ Price', 'Alex Kirk', 'Anderson Varejao', 'Brendan Haywood', 'Dion Waiters', 'Iman Shumpert', 'JR Smith', 'James Jones', 'Joe Harris', 'Kendrick Perkins', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Lou Amundson', 'Matthew Dellavedova', 'Mike Miller', 'Shawn Marion', 'Timofey Mozgov', 'Tristan Thompson', 'Will Cherry']"
19,1610612739,2015-16,"['Anderson Varejao', 'Channing Frye', 'Dahntay Jones', 'Iman Shumpert', 'JR Smith', 'James Jones', 'Jared Cunningham', 'Joe Harris', 'Jordan McRae', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Matthew Dellavedova', 'Mo Williams', 'Richard Jefferson', 'Sasha Kaun', 'Timofey Mozgov', 'Tristan Thompson']"
20,1610612739,2016-17,"['Andrew Bogut', 'Channing Frye', 'Chris Andersen', 'Dahntay Jones', 'DeAndre Liggins', 'Deron Williams', 'Derrick Williams', 'Edy Tavares', 'Iman Shumpert', 'JR Smith', 'James Jones', 'Jordan McRae', 'Kay Felder', 'Kevin Love', 'Kyle Korver', 'Kyrie Irving', 'Larry Sanders', 'LeBron James', 'Mike Dunleavy', 'Richard Jefferson', 'Tristan Thompson']"
21,1610612739,2017-18,"['Ante Zizic', 'Cedi Osman', 'Channing Frye', 'Derrick Rose', 'Dwyane Wade', 'George Hill', 'Iman Shumpert', 'Isaiah Thomas', 'JR Smith', 'Jae Crowder', 'Jeff Green', 'John Holland', 'Jordan Clarkson', 'Jose Calderon', 'Kendrick Perkins', 'Kevin Love', 'Kyle Korver', 'Larry Nance Jr.', 'LeBron James', 'London Perrantes', 'Rodney Hood', 'Tristan Thompson']"
22,1610612739,2018-19,"['Alec Burks', 'Andrew Harrison', 'Ante Zizic', 'Brandon Knight', 'Cameron Payne', 'Cedi Osman', 'Channing Frye', 'Collin Sexton', 'David Nwaba', 'Deng Adel', 'George Hill', 'JR Smith', 'Jalen Jones', 'Jaron Blossomgame', 'John Holland', 'Jordan Clarkson', 'Kevin Love', 'Kobi Simmons', 'Kyle Korver', 'Larry Nance Jr.', 'Marquese Chriss', 'Matthew Dellavedova', 'Nik Stauskas', 'Patrick McCaw', 'Rodney Hood', 'Sam Dekker', 'Tristan Thompson']"
23,1610612739,2019-20,"['Alfonzo McKinnie', 'Andre Drummond', 'Ante Zizic', 'Brandon Knight', 'Cedi Osman', 'Collin Sexton', 'Dante Exum', 'Darius Garland', 'Dean Wade', 'J.P. Macura', 'John Henson', 'Jordan Clarkson', 'Kevin Love', 'Kevin Porter Jr.', 'Larry Nance Jr.', 'Malik Newman', 'Marques Bolden', 'Matt Mooney', 'Matthew Dellavedova', 'Tristan Thompson', 'Tyler Cook']"
24,1610612740,2012-13,"['Al-Farouq Aminu', 'Anthony Davis', 'Austin Rivers', 'Brian Roberts', 'Darius Miller', 'Dominic McGuire', 'Donald Sloan', 'Eric Gordon', 'Greivis Vasquez', 'Hakim Warrick', 'Henry Sims', 'Jason Smith', 'Lance Thomas', 'Lou Amundson', 'Robin Lopez', 'Roger Mason Jr.', 'Ryan Anderson', 'Terrel Harris', 'Xavier Henry']"
25,1610612740,2013-14,"['Al-Farouq Aminu', 'Alexis Ajinca', 'Anthony Davis', 'Anthony Morrow', 'Arinze Onuaku', 'Austin Rivers', 'Brian Roberts', 'Darius Miller', 'Eric Gordon', 'Greg Stiemsma', 'James Southerland', 'Jason Smith', 'Jeff Withey', 'Josh Childress', 'Jrue Holiday', 'Lance Thomas', 'Lou Amundson', 'Luke Babbitt', 'Melvin Ely', 'Ryan Anderson', 'Tyreke Evans']"
26,1610612740,2014-15,"['Alexis Ajinca', 'Anthony Davis', 'Austin Rivers', 'Dante Cunningham', 'Darius Miller', 'Elliot Williams', 'Eric Gordon', 'Gal Mekel', 'Jeff Withey', 'Jimmer Fredette', 'John Salmons', 'Jrue Holiday', 'Luke Babbitt', 'Nate Wolters', 'Norris Cole', 'Omer Asik', 'Quincy Pondexter', 'Russ Smith', 'Ryan Anderson', 'Toney Douglas', 'Tyreke Evans']"
27,1610612740,2015-16,"['Alexis Ajinca', 'Alonzo Gee', 'Anthony Davis', 'Bryce Dejean-Jones', 'Dante Cunningham', 'Eric Gordon', 'Ish Smith', 'James Ennis III', 'Jimmer Fredette', 'Jordan Hamilton', 'Jrue Holiday', 'Kendrick Perkins', 'Luke Babbitt', 'Nate Robinson', 'Norris Cole', 'Omer Asik', 'Orlando Johnson', 'Ryan Anderson', 'Tim Frazier', 'Toney Douglas', 'Tyreke Evans']"
28,1610612740,2016-17,"['Alexis Ajinca', 'Anthony Brown', 'Anthony Davis', 'Archie Goodwin', 'Axel Toupane', 'Buddy Hield', 'Cheick Diallo', 'Dante Cunningham', 'DeMarcus Cousins', 'Donatas Motiejunas', ""E'Twaun Moore"", 'Hollis Thompson', 'Jarrett Jack', 'Jordan Crawford', 'Jrue Holiday', 'Lance Stephenson', 'Langston Galloway', 'Omer Asik', 'Omri Casspi', 'Quinn Cook', 'Reggie Williams', 'Solomon Hill', 'Terrence Jones', 'Tim Frazier', 'Tyreke Evans', 'Wayne Selden']"
29,1610612740,2017-18,"['Anthony Davis', 'Charles Cooke', 'Cheick Diallo', 'Dante Cunningham', 'Darius Miller', 'DeAndre Liggins', 'DeMarcus Cousins', ""E'Twaun Moore"", 'Emeka Okafor', 'Ian Clark', 'Jalen Jones', 'Jameer Nelson', 'Jordan Crawford', 'Josh Smith', 'Jrue Holiday', 'Larry Drew II', 'Mike James', 'Nikola Mirotic', 'Omer Asik', 'Rajon Rondo', 'Solomon Hill', 'Tony Allen', 'Walt Lemon Jr.']"
30,1610612740,2018-19,"['Andrew Harrison', 'Anthony Davis', 'Cheick Diallo', 'Christian Wood', 'Dairis Bertans', 'Darius Miller', ""E'Twaun Moore"", 'Elfrid Payton', 'Frank Jackson', 'Ian Clark', 'Jahlil Okafor', 'Jason Smith', 'Jrue Holiday', 'Julius Randle', 'Kenrich Williams', 'Nikola Mirotic', 'Solomon Hill', 'Stanley Johnson', 'Tim Frazier', 'Wesley Johnson']"
31,1610612740,2019-20,"['Brandon Ingram', 'Derrick Favors', ""E'Twaun Moore"", 'Frank Jackson', 'JJ Redick', 'Jahlil Okafor', 'Jaxson Hayes', 'Josh Gray', 'Josh Hart', 'Jrue Holiday', 'Kenrich Williams', 'Lonzo Ball', 'Nickeil Alexander-Walker', 'Nicolo Melli', 'Zion Williamson', 'Zylan Cheatham']"
32,1610612741,2012-13,"['Carlos Boozer', 'Daequan Cook', 'Jimmy Butler', 'Joakim Noah', 'Kirk Hinrich', 'Lou Amundson', 'Luol Deng', 'Malcolm Thomas', 'Marco Belinelli', 'Marquis Teague', 'Nate Robinson', 'Nazr Mohammed', 'Richard Hamilton', 'Taj Gibson', 'Vladimir Radmanovic']"
33,1610612741,2013-14,"['Carlos Boozer', 'Cartier Martin', 'D.J. Augustin', 'Derrick Rose', 'Erik Murphy', 'Jarvis Varnado', 'Jimmer Fredette', 'Jimmy Butler', 'Joakim Noah', 'Kirk Hinrich', 'Lou Amundson', 'Luol Deng', 'Marquis Teague', 'Mike Dunleavy', 'Mike James', 'Nazr Mohammed', 'Ronnie Brewer', 'Taj Gibson', 'Tony Snell', 'Tornike Shengelia']"
34,1610612741,2014-15,"['Aaron Brooks', 'Cameron Bairstow', 'Derrick Rose', 'Doug McDermott', ""E'Twaun Moore"", 'Jimmy Butler', 'Joakim Noah', 'Kirk Hinrich', 'Mike Dunleavy', 'Nazr Mohammed', 'Nikola Mirotic', 'Pau Gasol', 'Taj Gibson', 'Tony Snell']"
35,1610612741,2015-16,"['Aaron Brooks', 'Bobby Portis', 'Cameron Bairstow', 'Cristiano Felicio', 'Derrick Rose', 'Doug McDermott', ""E'Twaun Moore"", 'Jimmy Butler', 'Joakim Noah', 'Justin Holiday', 'Kirk Hinrich', 'Mike Dunleavy', 'Nikola Mirotic', 'Pau Gasol', 'Taj Gibson', 'Tony Snell']"
36,1610612741,2016-17,"['Anthony Morrow', 'Bobby Portis', 'Cameron Payne', 'Cristiano Felicio', 'Denzel Valentine', 'Doug McDermott', 'Dwyane Wade', 'Isaiah Canaan', 'Jerian Grant', 'Jimmy Butler', 'Joffrey Lauvergne', 'Michael Carter-Williams', 'Nikola Mirotic', 'Paul Zipser', 'RJ Hunter', 'Rajon Rondo', 'Robin Lopez', 'Taj Gibson']"
37,1610612741,2017-18,"['Antonio Blakeney', 'Bobby Portis', 'Cameron Payne', 'Cristiano Felicio', 'David Nwaba', 'Denzel Valentine', 'Jarell Eddie', 'Jerian Grant', 'Justin Holiday', 'Kay Felder', 'Kris Dunn', 'Lauri Markkanen', 'Nikola Mirotic', 'Noah Vonleh', 'Omer Asik', 'Paul Zipser', 'Quincy Pondexter', 'Robin Lopez', 'Ryan Arcidiacono', 'Sean Kilpatrick', 'Zach LaVine']"
38,1610612741,2018-19,"['Antonio Blakeney', 'Bobby Portis', 'Brandon Sampson', 'Cameron Payne', 'Chandler Hutchison', 'Cristiano Felicio', 'JaKarr Sampson', 'Jabari Parker', 'Justin Holiday', 'Kris Dunn', 'Lauri Markkanen', 'Otto Porter Jr.', 'Rawle Alkins', 'Robin Lopez', 'Ryan Arcidiacono', 'Shaquille Harrison', 'Timothe Luwawu-Cabarrot', 'Tyler Ulis', 'Walt Lemon Jr.', 'Wayne Selden', 'Wendell Carter Jr.', 'Zach LaVine']"
39,1610612741,2019-20,"['Adam Mokoka', 'Chandler Hutchison', 'Coby White', 'Cristiano Felicio', 'Daniel Gafford', 'Denzel Valentine', 'Kris Dunn', 'Lauri Markkanen', 'Luke Kornet', 'Max Strus', 'Otto Porter Jr.', 'Ryan Arcidiacono', 'Shaquille Harrison', 'Thaddeus Young', 'Tomas Satoransky', 'Wendell Carter Jr.', 'Zach LaVine']"
40,1610612742,2012-13,"['Anthony Morrow', 'Bernard James', 'Brandan Wright', 'Chris Douglas-Roberts', 'Chris Kaman', 'Chris Wright', 'Dahntay Jones', 'Darren Collison', 'Derek Fisher', 'Dirk Nowitzki', 'Dominique Jones', 'Eddy Curry', 'Elton Brand', 'Jae Crowder', 'Jared Cunningham', 'Josh Akognon', 'Justin Dentmon', 'Mike James', 'O.J. Mayo', 'Rodrigue Beaubois', 'Shawn Marion', 'Troy Murphy', 'Vince Carter']"
41,1610612742,2013-14,"['Bernard James', 'Brandan Wright', 'DeJuan Blair', 'Devin Harris', 'Dirk Nowitzki', 'Gal Mekel', 'Jae Crowder', 'Jose Calderon', 'Monta Ellis', 'Ricky Ledo', 'Samuel Dalembert', 'Shane Larkin', 'Shawn Marion', 'Vince Carter', 'Wayne Ellington']"
42,1610612742,2014-15,"['Al-Farouq Aminu', ""Amar'e Stoudemire"", 'Bernard James', 'Brandan Wright', 'Chandler Parsons', 'Charlie Villanueva', 'Devin Harris', 'Dirk Nowitzki', 'Dwight Powell', 'Greg Smith', 'J.J. Barea', 'Jae Crowder', 'Jameer Nelson', 'Monta Ellis', 'Rajon Rondo', 'Raymond Felton', 'Richard Jefferson', 'Ricky Ledo', 'Tyson Chandler']"
43,1610612742,2015-16,"['Chandler Parsons', 'Charlie Villanueva', 'David Lee', 'Deron Williams', 'Devin Harris', 'Dirk Nowitzki', 'Dwight Powell', 'J.J. Barea', 'JaVale McGee', 'Jeremy Evans', 'John Jenkins', 'Justin Anderson', 'Raymond Felton', 'Salah Mejri', 'Wesley Matthews', 'Zaza Pachulia']"
44,1610612742,2016-17,"['AJ Hammons', 'Andrew Bogut', 'Ben Bentil', 'DeAndre Liggins', 'Deron Williams', 'Devin Harris', 'Dirk Nowitzki', 'Dorian Finney-Smith', 'Dwight Powell', 'Harrison Barnes', 'J.J. Barea', 'Jarrod Uthoff', 'Jonathan Gibson', 'Justin Anderson', 'Manny Harris', 'Nerlens Noel', 'Nicolas Brussino', 'Pierre Jackson', 'Quincy Acy', 'Quinn Cook', 'Salah Mejri', 'Seth Curry', 'Wesley Matthews', 'Yogi Ferrell']"
45,1610612742,2017-18,"['Aaron Harrison', 'Antonius Cleveland', 'Dennis Smith Jr.', 'Devin Harris', 'Dirk Nowitzki', 'Dorian Finney-Smith', 'Doug McDermott', 'Dwight Powell', 'Gian Clavell', 'Harrison Barnes', 'J.J. Barea', 'Jalen Jones', 'Jameel Warney', 'Jeff Withey', 'Johnathan Motley', 'Josh McRoberts', 'Kyle Collinsworth', 'Maxi Kleber', 'Nerlens Noel', 'Salah Mejri', 'Scotty Hopson', 'Wesley Matthews', 'Yogi Ferrell']"
46,1610612742,2018-19,"['Courtney Lee', 'Daryl Macon', 'DeAndre Jordan', 'Dennis Smith Jr.', 'Devin Harris', 'Dirk Nowitzki', 'Dorian Finney-Smith', 'Dwight Powell', 'Harrison Barnes', 'J.J. Barea', 'Jalen Brunson', 'Justin Jackson', 'Kostas Antetokounmpo', 'Luka Doncic', 'Maxi Kleber', 'Ray Spalding', 'Ryan Broekhoff', 'Salah Mejri', 'Tim Hardaway Jr.', 'Trey Burke', 'Wesley Matthews']"
47,1610612742,2019-20,"['Antonius Cleveland', 'Boban Marjanovic', 'Courtney Lee', 'Delon Wright', 'Dorian Finney-Smith', 'Dwight Powell', 'J.J. Barea', 'Jalen Brunson', 'Josh Reaves', 'Justin Jackson', 'Kristaps Porzingis', 'Luka Doncic', 'Maxi Kleber', 'Michael Kidd-Gilchrist', 'Ryan Broekhoff', 'Seth Curry', 'Tim Hardaway Jr.', 'Willie Cauley-Stein']"
48,1610612743,2012-13,"['Andre Iguodala', 'Andre Miller', 'Anthony Randolph', 'Corey Brewer', 'Danilo Gallinari', 'Evan Fournier', 'JaVale McGee', 'Jordan Hamilton', 'Julyan Stone', 'Kenneth Faried', 'Kosta Koufos', 'Quincy Miller', 'Timofey Mozgov', 'Ty Lawson', 'Wilson Chandler']"
49,1610612743,2013-14,"['Aaron Brooks', 'Andre Miller', 'Anthony Randolph', 'Darrell Arthur', 'Evan Fournier', 'JJ Hickson', 'JaVale McGee', 'Jan Vesely', 'Jordan Hamilton', 'Kenneth Faried', 'Nate Robinson', 'Quincy Miller', 'Randy Foye', 'Timofey Mozgov', 'Ty Lawson', 'Wilson Chandler']"
50,1610612743,2014-15,"['Alonzo Gee', 'Arron Afflalo', 'Danilo Gallinari', 'Darrell Arthur', 'Erick Green', 'Gary Harris', 'Ian Clark', 'JJ Hickson', 'JaVale McGee', 'Jamaal Franklin', 'Jameer Nelson', 'Joffrey Lauvergne', 'Jusuf Nurkic', 'Kenneth Faried', 'Nate Robinson', 'Randy Foye', 'Timofey Mozgov', 'Ty Lawson', 'Will Barton', 'Wilson Chandler']"
51,1610612743,2015-16,"['Axel Toupane', 'D.J. Augustin', 'Danilo Gallinari', 'Darrell Arthur', 'Emmanuel Mudiay', 'Erick Green', 'Gary Harris', 'JJ Hickson', 'JaKarr Sampson', 'Jameer Nelson', 'Joffrey Lauvergne', 'Jusuf Nurkic', 'Kenneth Faried', 'Kostas Papanikolaou', 'Mike Miller', 'Nikola Jokic', 'Randy Foye', 'Sean Kilpatrick', 'Will Barton']"
52,1610612743,2016-17,"['Alonzo Gee', 'Danilo Gallinari', 'Darrell Arthur', 'Emmanuel Mudiay', 'Gary Harris', 'Jamal Murray', 'Jameer Nelson', 'Jarnell Stokes', ""Johnny O'Bryant III"", 'Juancho Hernangomez', 'Jusuf Nurkic', 'Kenneth Faried', 'Malik Beasley', 'Mason Plumlee', 'Mike Miller', 'Nikola Jokic', 'Roy Hibbert', 'Will Barton', 'Wilson Chandler']"
53,1610612743,2017-18,"['Darrell Arthur', 'Devin Harris', 'Emmanuel Mudiay', 'Gary Harris', 'Jamal Murray', 'Juancho Hernangomez', 'Kenneth Faried', 'Malik Beasley', 'Mason Plumlee', 'Monte Morris', 'Nikola Jokic', 'Paul Millsap', 'Richard Jefferson', 'Torrey Craig', 'Trey Lyles', 'Tyler Lydon', 'Will Barton', 'Wilson Chandler']"
54,1610612743,2018-19,"['Brandon Goodwin', 'DeVaughn Akoon-Purcell', 'Gary Harris', 'Isaiah Thomas', 'Jamal Murray', 'Jarred Vanderbilt', 'Juancho Hernangomez', 'Malik Beasley', 'Mason Plumlee', 'Monte Morris', 'Nick Young', 'Nikola Jokic', 'Paul Millsap', 'Thomas Welsh', 'Torrey Craig', 'Trey Lyles', 'Tyler Lydon', 'Will Barton']"
55,1610612743,2019-20,"['Gary Harris', 'Jamal Murray', 'Jarred Vanderbilt', 'Jerami Grant', 'Jordan McRae', 'Juancho Hernangomez', 'Keita Bates-Diop', 'Malik Beasley', 'Mason Plumlee', 'Michael Porter Jr.', 'Monte Morris', 'Nikola Jokic', 'Noah Vonleh', 'PJ Dozier', 'Paul Millsap', 'Torrey Craig', 'Troy Daniels', 'Vlatko Cancar', 'Will Barton']"
56,1610612744,2012-13,"['Andrew Bogut', 'Andris Biedrins', 'Brandon Rush', 'Carl Landry', 'Charles Jenkins', 'David Lee', 'Draymond Green', 'Festus Ezeli', 'Harrison Barnes', 'Jarrett Jack', 'Jeremy Tyler', 'Kent Bazemore', 'Klay Thompson', 'Malcolm Thomas', 'Richard Jefferson', 'Stephen Curry']"
57,1610612744,2013-14,"['Andre Iguodala', 'Andrew Bogut', 'David Lee', 'Dewayne Dedmon', 'Draymond Green', 'Harrison Barnes', 'Hilton Armstrong', ""Jermaine O'Neal"", 'Jordan Crawford', 'Kent Bazemore', 'Klay Thompson', 'MarShon Brooks', 'Marreese Speights', 'Nemanja Nedovic', 'Ognjen Kuzmic', 'Stephen Curry', 'Steve Blake', 'Toney Douglas']"
58,1610612744,2014-15,"['Andre Iguodala', 'Andrew Bogut', 'Brandon Rush', 'David Lee', 'Draymond Green', 'Festus Ezeli', 'Harrison Barnes', 'James Michael McAdoo', 'Justin Holiday', 'Klay Thompson', 'Leandro Barbosa', 'Marreese Speights', 'Ognjen Kuzmic', 'Shaun Livingston', 'Stephen Curry']"
